en,ru,de,es,fr
allow,позволять,zulassen,permitir,permettre
ally,союзник,verbündete,aliado,allié
almost,почти,fast,casi,presque
alone,один,allein,solo,seul
along,по,neben,junto a,aux côtés de
already,уже,bereits,ya,déjà
also,также,damit,asi que,alors
alter,изменять,älter,mayor,plus âgée
alternative,альтернатива,alternative,alternativa,alternative
although,хотя,obwohl,a pesar de que,bien que
always,всегда,immer,siempre,toujours
am,есть,bei der,en el,au
amazing,удивительный,tolle,asombroso,incroyable
american,американский,amerikanisch,americano,américain
among,среди,unter,entre,parmi
amount,сумма,menge,cantidad,montant
analysis,анализ,analyse,análisis,une analyse
analyst,аналитик,analytiker,analista,analyste
analyze,анализировать,analysieren,analizar,analyser
ancient,древний,altes,antiguo,ancien
and,и,und,y,et
anger,гнев,zorn,enfado,colère
angle,угол,winkel,ángulo,angle
angry,сердитый,wütend,enojado,en colère
animal,животное,tier,animal,animal
anniversary,годовщина,jahrestag,aniversario,anniversaire
announce,объявлять,bekannt geben,anunciar,annoncer
annual,ежегодный,jährlich,anual,annuel
another,другой,ein weiterer,otro,un autre
answer,ответ,antworten,responder,répondre
anticipate,предвидеть,erwarten,prever,anticiper
anxiety,тревога,angst,ansiedad,anxiété
any,любой,irgendein,alguna,tout
anybody,никто,irgendjemand,nadie,n'importe qui
anymore,больше,nicht mehr,nunca más,anymore
anyone,никто,jemand,nadie,n'importe qui
anything,что угодно,etwas,cualquier cosa,n'importe quoi
anyway,в любом случае,sowieso,de todas formas,en tous cas
anywhere,везде,irgendwo,en cualquier sitio,nulle part
apart,отдельно,ein teil,aparte,une part
apartment,квартира,wohnung,apartamento,appartement
apparent,очевидный,ersichtlich,aparente,apparent
apparently,видимо,anscheinend,aparentemente,apparemment
appeal,обращение,beschwerde,apelación,charme
appear,казаться,erscheinen,aparecer,apparaître
appearance,внешний вид,das auftreten,apariencia,apparence
apple,яблоко,apfel,manzana,pomme
application,приложение,anwendung,solicitud,application
apply,применять,sich bewerben,aplicar,appliquer
appoint,назначать,ernennen,nombrar,nommer
appointment,назначение,termin,cita,rendez-vous
appreciate,ценить,schätzen,apreciar,apprécier
approach,подход,zugänglich,accesible,approchable
appropriate,соответствующий,angemessen,apropiado,approprié
approval,утверждение,die genehmigung,aprobación,approbation
approve,утверждать,genehmigen,aprobar,approuver
approximately,около,ca,aproximadamente,approximativement
arab,арабский,arabisch,árabe,arabe
architect,архитектор,architekt,arquitecto,architecte
area,область,bereich,zona,région
argue,утверждать,argumentieren,discutir,se disputer
argument,аргумент,streit,argumento,argument
arise,возникать,entstehen,surgir,survenir
arm,рука,arm,pobre,pauvre
armed,вооруженный,bewaffnet,armado,armé
army,армия,armee,ejército,armée
around,вокруг,um,alrededor,autour
arrange,устраивать,ordnen,organizar,organiser
arrangement,расположение,anordnung,arreglo,arrangement
arrest,арест,verhaften,arrestar,arrêter
arrival,прибытие,ankunft,llegada,arrivée
arrive,прибывать,ankommen,llegar,arrivée
art,искусство,kunst,art,art
article,статья,artikel,artículo,article
artist,художник,künstler,artista,artiste
artistic,художественный,künstlerisch,artístico,artistique
as,как,wie,como,comme
asian,азиатский,asiatisch,asiático,asiatique
aside,в сторону,beiseite,aparte,de côté
ask,просить,fragen,pedir,demander
asleep,спящий,schlafend,dormido,endormi
aspect,аспект,aspekt,aspecto,aspect
assault,нападение,angriff,asalto,agression
assert,утверждать,behaupten,afirmar,affirmer
assess,оценивать,beurteilen,evaluar,évaluer
assessment,оценка,bewertung,evaluación,évaluation
asset,имущество,vermögenswert,activo,atout
assign,назначать,zuordnen,asignar,attribuer
assignment,назначение,zuordnung,asignación,affectation
assist,помогать,helfen,ayudar,aider
assistance,помощь,hilfe,asistencia,assistance
assistant,помощник,assistent,asistente,assistant
associate,связывать,assoziieren,asociar,associer
association,ассоциация,verband,asociación,association
assume,предполагать,annehmen,asumir,assumer
assumption,предположение,annahme,suposición,supposition
assure,уверять,versichern,asegurar,assurer
at,на,beim,a,à
athlete,спортсмен,athlet,atleta,athlète
athletic,спортивный,sportlich,atlético,athlétique
atmosphere,атмосфера,atmosphäre,atmósfera,atmosphère
attach,придавать,anfügen,adjuntar,attacher
attack,атака,attacke,ataque,attaque
attempt,попытка,versuchen,intento,tentative
attend,посещать,besuchen,asistir,assister
attention,внимание,aufmerksamkeit,atención,attention
attitude,отношение,haltung,actitud,attitude
attorney,адвокат,rechtsanwalt,abogado,avocat
attract,привлекать,anlocken,atraer,attirer
attractive,привлекательный,attraktiv,atractivo,attrayant
attribute,атрибут,attribut,atributo,attribut
audience,аудитория,publikum,audiencia,public
author,автор,autor,autor,auteur
authority,авторитет,behörde,autoridad,autorité
auto,автоматический,automobil,automóvil,voiture
available,доступный,verfügbar,disponible,disponible
average,обычный,durchschnittlich,promedio,moyenne
avoid,избегать,vermeiden,evitar,éviter
award,присуждать,vergeben,premio,prix
aware,осведомленный,bewusst,consciente,conscient
awareness,осведомленность,das bewusstsein,conciencia,conscience
away,прочь,ein weg,lejos,un moyen
awful,ужасный,furchtbar,horrible,terrible
baby,младенец,säugling,infantil,bébé
back,спина,zurück,espalda,arrière
background,фон,hintergrund,fondo,contexte
bad,плохой,bad,bañera,une baignoire
badly,дурно,schlecht,mal,mal
bag,мешок,tasche,bolso,sac
bake,испечь,backen,hornear,cuire
balance,баланс,balance,equilibrar,équilibre
ball,мяч,ball,pelota,ballon
ban,запрещение,verbot,prohibición,interdire
band,банда,band,cinta,ruban
bank,банк,bank,banco,banque
bar,бар,bar,bar,bar
barely,едва,kaum,apenas,à peine
barrel,бочка,fass,barril,baril
barrier,барьер,barriere,barrera,barrière
base,база,base,base,base
baseball,бейсбол,baseball,béisbol,base-ball
basic,основной,basic,basic,de base
basically,в основном,im grunde,de básicamente,fondamentalement
basis,основа,base,base,base
basket,корзина,korb,cesta,panier
basketball,баскетбол,basketball,baloncesto,basketball
bathroom,ванная,bad,baño,salle de bains
battery,батарея,batterie,batería,batterie
battle,битва,schlacht,batalla,bataille
be,быть,sein,ser,être
beach,пляж,strand,playa,plage
bean,боб,bohne,frijol,haricot
bear,нести,bär,oso,ours
beat,бить,schlagen,golpear,battre
beautiful,красивый,schön,hermosa,beau
beauty,красота,schönheit,belleza,beauté
because,потому что,weil,porque,car
become,стать,werden,volverse,devenir
bed,кровать,bett,cama,lit
bedroom,спальня,schlafzimmer,cuarto,chambre
beer,пиво,bier,cerveza,bière
before,до,vor,antes de,avant
begin,начинать,start,empezar,commencer
beginning,начало,anfang,comenzando,début
behavior,поведение,verhalten,comportamiento,comportement
behind,за,hinter,detrás,derrière
being,существо,sein,siendo,étant
belief,вера,glauben,creencia,croyance
believe,верить,glauben,creer,croyez
bell,колокол,glocke,campana,cloche
belong,принадлежать,gehören,pertenecer a,appartenir
below,ниже,unten,abajo,au dessous de
belt,пояс,gürtel,cinturón,ceinture
bench,скамейка,bank,banco,banc
bend,изгиб,biege,curva,pliez
beneath,под,unter,debajo,sous
benefit,выгода,vorteil,beneficio,avantage
beside,рядом,neben,junto a,à côté de
besides,кроме,außerdem,además,outre
best,лучший,beste,mejor,meilleur
bet,ставка,wette,apuesta,pari
better,лучше,besser,mejor,meilleur
between,между,zwischen,entre,entre
beyond,за,darüber hinaus,más allá,au-delà
bible,библия,bibel,biblia,bible
big,большой,groß,grande,gros
bike,велосипед,fahrrad,bicicleta,bicyclette
bill,законопроект,rechnung,cuenta,facture
billion,биллион,milliarde,mil millones,milliard
bind,связывать,binden,enlazar,lier
biological,биологический,biologisch,biológico,biologique
bird,птица,vogel,pájaro,oiseau
birth,рождение,geburt,nacimiento,naissance
birthday,дата рождения,geburtstag,cumpleaños,anniversaire
bit,бит,bit,poco,bit
bite,кусать,beißen,mordedura,mordre
black,черный,schwarz,negro,noir
blade,лезвие,klinge,espada,lame
blame,обвинять,schuld,culpa,faire des reproches
blanket,одеяло,decke,cobija,couverture
blind,штора,blind,ciego,aveugle
block,блок,block,bloquear,bloc
blood,кровь,blut,sangre,du sang
blow,удар,schlag,soplar,coup
blue,синий,blau,azul,bleu
board,правление,tafel,tablero,planche
boat,лодка,boot,barco,bateau
body,тело,körper,cuerpo,corps
bomb,бомба,bombe,bomba,bombe
bombing,бомбардировка,bombardierung,bombardeo,bombardement
bond,связь,bindung,enlace,liaison
bone,кость,knochen,hueso,os
book,книга,buch,libro,livre
boom,бум,boom,auge,boom
boot,ботинок,boot,bota,démarrage
border,граница,rand,frontera,frontière
born,родившийся,geboren,nacido,née
borrow,заимствовать,leihen,pedir prestado,emprunter
boss,бобышка,chef,jefe,patron
both,оба,beide,ambos,tous les deux
bother,беспокоить,mühe,molestia,déranger
bottle,бутылка,flasche,botella,bouteille
bottom,нижний,boden,fondo,bas
boundary,граница,grenze,límite,frontière
bowl,чаша,schüssel,cuenco,bol
box,коробка,box,caja,boîte
boy,мальчик,junge,chico,garçon
boyfriend,молодой человек,freund,novio,copain
brain,мозг,gehirn,cerebro,cerveau
branch,филиал,ast,rama,branche
brand,марка,marke,marca,marque
bread,хлеб,brot,pan de molde,pain
break,ломать,unterbrechung,descanso,pause
breakfast,завтрак,frühstück,desayuno,déjeuner
breast,грудь,brust,pecho,sein
breath,дыхание,atem,aliento,souffle
breathe,дышать,atmen,respirar,respirer
brick,кирпич,ziegel,ladrillo,brique
bridge,мост,brücke,puente,pont
brief,краткий,kurz,breve,bref
briefly,кратко,kurz,brevemente,brièvement
bright,яркий,hell,brillante,brillant
brilliant,блестящий,genial,brillante,brillant
bring,приносить,bringen,traer,apporter
british,британский,britisch,británico,britanique
broad,широкий,breit,ancho,vaste
broken,нарушаться,gebrochen,roto,cassé
brother,брат,bruder,hermano,frère
brown,коричневый,braun,marrón,marron
brush,кисть,bürste,cepillo,brosse
buck,бакс,bock,dólar,mâle
budget,бюджет,budget,presupuesto,budget
build,строить,bauen,construir,construire
building,здание,gebäude,edificio,bâtiment
bullet,пуля,kugel,bala,balle
bunch,пучок,bündel,manojo,bouquet
burden,бремя,belastung,carga,charge
burn,сжигать,brennen,quemar,brûler
bury,похоронить,begraben,enterrar,enterrer
bus,автобус,bus,autobús,autobus
business,бизнес,geschäft,negocio,entreprise
busy,оживленный,beschäftigt,ocupado,occupé
but,но,aber,pero,mais
butter,масло,butter,mantequilla,beurre
button,кнопка,taste,botón,bouton
buy,купить,kaufen,comprar,acheter
buyer,покупатель,käufer,comprador,acheteur
by,по,durch,por,par
cabin,кабина,kabine,cabina,cabine
cabinet,кабинет,kabinett,gabinete,cabinet
cable,кабель,kabel,cable,câble
cake,торт,kuchen,pastel,gâteau
calculate,вычислять,berechnen,calcular,calculer
call,призывать,anruf,llamada,appel
camera,камера,kamera,cámara,caméra
camp,лагерь,lager,acampar,camp
campaign,кампания,kampagne,campaña,campagne
campus,кампус,campus,campus,campus
can,мочь,kann,poder,pouvez
canadian,канадский,kanadisch,canadiense,canadien
cancer,рак,krebs,cáncer,cancer
candidate,кандидат,kandidat,candidato,candidat
cap,шапка,kappe,gorra,casquette
capability,способность,fähigkeit,capacidad,aptitude
capable,способный,fähig,capaz,capable
capacity,мощность,kapazität,capacidad,capacité
capital,капитал,hauptstadt,capital,capitale
captain,капитан,kapitän,capitán,capitaine
capture,захватить,erfassung,capturar,capturer
car,автомобиль,auto,coche,voiture
carbon,углерод,kohlenstoff,carbón,carbone
card,карта,karte,tarjeta,carte
care,тщательность,pflege,cuidado,se soucier
career,карьера,karriere,carrera,carrière
careful,осторожный,vorsichtig,cuidadoso,prudent
carefully,тщательно,vorsichtig,cuidadosamente,soigneusement
carrier,перевозчик,träger,portador,transporteur
carry,проводить,tragen,llevar,porter
case,случай,fall,caso,cas
cash,наличные деньги,kasse,efectivo,en espèces
cast,отбрасывать,besetzung,emitir,jeter
cat,кошка,katze,gato,chat
catch,поймать,fang,captura,capture
category,категория,kategorie,categoría,catégorie
catholic,католический,katholisch,católico,catholique
cause,причина,ursache,porque,cause
ceiling,потолок,decke,techo,plafond
celebrate,праздновать,feiern,celebrar,célébrer
celebration,празднование,feier,celebracion,fête
celebrity,знаменитость,berühmtheit,celebridad,célébrité
cell,клетка,zelle,celda,cellule
center,центр,center,centrar,centre
central,центральный,zentral,central,central
century,век,jahrhundert,siglo,siècle
ceo,директор,ceo,ceo,pdg
ceremony,церемония,zeremonie,ceremonia,la cérémonie
certain,определенный,sicher,cierto,certain
certainly,конечно,bestimmt,ciertamente,certainement
chain,цепь,kette,cadena,chaîne
chair,стул,sessel,silla,chaise
chairman,председатель,vorsitzende,presidente,président
challenge,проблема,herausforderung,reto,défi
chamber,камерный,kammer,cámara,chambre
champion,отстаивать,champion,campeón,champion
championship,чемпионат,meisterschaft,campeonato,championnat
chance,шанс,chance,oportunidad,chance
change,изменение,veränderung,cambio,changement
changing,изменение,ändern,cambiando,en changeant
channel,канал,kanal,canal,canal
chapter,глава,kapitel,capítulo,chapitre
character,характер,charakter,personaje,personnage
characteristic,характеристика,charakteristisch,característica,caractéristiques
characterize,характеризовать,charakterisieren,caracterizar,caractériser
charge,обвинение,berechnen,cargar,charge
charity,милосердие,nächstenliebe,caridad,charité
chart,диаграмма,diagramm,gráfico,graphique
chase,погоня,verfolgungsjagd,persecución,chasse
cheap,дешевый,billig,barato,pas cher
check,проверять,prüfen,comprobar,vérifier
cheek,щека,wange,mejilla,joue
cheese,сыр,käse,queso,fromage
chef,повар,koch,cocinero,chef
chemical,химический,chemisch,químico,chimique
chest,сундук,brust,pecho,poitrine
chicken,цыпленок,hähnchen,pollo,poulet
chief,начальник,chef,jefe,chef
child,ребенок,kind,niño,enfant
childhood,детство,kindheit,infancia,enfance
chinese,китайский,chinesisch,chino,chinois
chip,чип,chip,chip,puce
chocolate,шоколад,schokolade,chocolate,chocolat
choice,выбор,wahl,elección,choix
cholesterol,холестерин,cholesterin,colesterol,cholestérol
choose,выбирать,wählen,escoger,choisir
christian,христианин,christian,cristiano,christian
christmas,рождество,weihnachten,navidad,noël
church,церковь,kirche,iglesia,église
cigarette,сигарета,zigarette,cigarrillo,cigarette
circle,круг,kreis,circulo,cercle
circumstance,условие,umstand,circunstancia,circonstance
cite,цитировать,zitieren,citar,citer
citizen,гражданин,bürger,ciudadano,citoyen
city,город,stadt,ciudad,ville
civil,гражданский,bürgerlich,civil,civil
civilian,гражданское лицо,zivilist,civil,civil
claim,претензия,anspruch,reclamación,prétendre
class,класс,klasse,clase,classe
classic,классический,klassisch,clásico,classique
classroom,класс,klassenzimmer,aula,salle de classe
clean,чистый,reinigen,limpiar,nettoyer
clear,четкий,klar,claro,clair
clearly,очевидно,deutlich,claramente,clairement
client,клиент,klient,cliente,client
climate,климат,klima,clima,climat
climb,взбираться,steigen,escalada,montée
clinic,клиника,klinik,clínica,clinique
clinical,клинический,klinisch,clínico,clinique
clock,часы,uhr,reloj,l'horloge
close,закрывать,schließen,cerca,fermer
closely,тесно,eng,cercanamente,étroitement
closer,более близкий,näher,cerca,plus proche
clothes,одежда,kleider,ropa,vêtements
clothing,одежда,kleidung,ropa,vêtements
cloud,облако,wolke,nube,nuage
club,клуб,verein,club,club
clue,ключ,hinweis,pista,indice
cluster,группа,cluster,racimo,grappe
coach,тренер,trainer,entrenador,entraîneur
coal,уголь,kohle,carbón,charbon
coalition,коалиция,koalition,coalición,coalition
coast,побережье,küste,costa,côte
coat,пальто,mantel,capa,manteau
code,код,code,código,code
coffee,кофе,kaffee,café,café
cognitive,когнитивный,kognitiv,cognitivo,cognitif
cold,простуда,kalt,frío,du froid
collapse,крах,zusammenbruch,colapso,effondrer
colleague,коллега,kollege,colega,collègue
collect,собирать,sammeln,recoger,collecte
collection,коллекция,sammlung,colección,collection
collective,коллективный,kollektiv,colectivo,collectif
college,колледж,hochschule,universidad,université
colonial,колониальный,kolonial,colonial,colonial
color,цвет,farbe,color,couleur
column,столбец,säule,columna,colonne
combination,сочетание,kombination,combinación,combinaison
combine,объединять,kombinieren,combinar,combiner
come,приходить,kommen sie,ven,viens
comedy,комедия,komödie,comedia,comédie
comfort,комфорт,komfort,comodidad,confort
comfortable,удобный,gemütlich,cómodo,confortable
command,команда,befehl,mando,commander
commander,командир,kommandant,comandante,le commandant
comment,комментарий,kommentar,comentario,commentaire
commercial,коммерческий,kommerziell,comercial,commercial
commission,комиссия,kommission,comisión,commission
commit,совершать,verpflichten,cometer,commettre
commitment,обязательство,engagement,compromiso,engagement
committee,комитет,ausschuss,comité,comité
common,общий,verbreitet,común,commun
communicate,общаться,kommunizieren,comunicar,communiquer
communication,коммуникация,kommunikation,comunicación,la communication
community,сообщество,gemeinschaft,comunidad,communauté
company,компания,unternehmen,empresa,compagnie
compare,сравнение,vergleichen,comparar,comparer
comparison,сравнение,vergleich,comparación,comparaison
compete,конкурировать,konkurrieren,competir,rivaliser
competition,конкурс,wettbewerb,competencia,compétition
competitive,конкурентный,wettbewerbsfähig,competitivo,compétitif
competitor,конкурент,wettbewerber,competidor,concurrent
complain,жаловаться,beschweren,quejar,se plaindre
complaint,жалоба,beschwerde,queja,plainte
complete,полный,komplett,completar,achevée
completely,полностью,vollständig,completamente,complètement
complex,комплекс,komplex,complejo,complexe
complicated,сложный,kompliziert,complicado,compliqué
component,деталь,komponente,componente,composant
compose,сочинять,komponieren,componer,composer
composition,состав,zusammensetzung,composición,composition
comprehensive,всеобъемлющий,umfassend,exhaustivo,complet
computer,компьютер,computer,computadora,ordinateur
concentrate,концентрат,konzentrieren,concentrado,concentrer
concentration,сосредоточенность,konzentration,concentración,concentration
concept,концепция,konzept,concepto,concept
concern,беспокойство,betreffen,preocupación,préoccupation
concerned,обеспокоенный,besorgt,preocupado,concerné
concert,концерт,konzert,concierto,concert
conclude,заключать,daraus schließen,concluir,conclure
conclusion,вывод,schlussfolgerung,conclusión,conclusion
concrete,конкретный,beton,hormigón,béton
condition,состояние,bedingung,condición,condition
conduct,проводить,verhalten,conducta,conduite
conference,конференция,konferenz,conferencia,conférence
confidence,доверие,vertrauen,confianza,confiance
confident,уверенный,zuversichtlich,confidente,sur de soi
confirm,подтверждать,bestätigen,confirmar,confirmer
conflict,конфликт,konflikt,conflicto,conflit
confront,противостоять,konfrontieren,confrontar,affronter
confusion,путаница,verwechslung,confusión,confusion
congress,конгресс,kongress,congreso,congrès
congressional,конгресса,kongress,del congreso,congrès
connect,связываться,verbinden,conectar,relier
connection,соединение,verbindung,conexión,connexion
consciousness,сознание,bewusstsein,conciencia,conscience
consensus,единодушие,konsens,consenso,consensus
consequence,последствие,folge,consecuencia,conséquence
conservative,консервативный,konservativ,conservador,conservateur
consider,считать,erwägen,considerar,considérer
considerable,значительный,beträchtlich,considerable,considérable
consideration,рассмотрение,berücksichtigung,consideración,considération
consist,состоять,bestehen,consistir,consister
consistent,последовательный,konsistent,consistente,cohérent
constant,постоянный,konstante,constante,constante
constantly,постоянно,ständig,constantemente,constamment
constitute,составлять,bilden,constituir,constituer
constitutional,конституционный,konstitutional,constitucional,constitutionnel
construct,строить,bauen,construir,construction
construction,строительство,bau,construcción,construction
consultant,консультант,berater,consultor,consultant
consume,поглощать,verbrauchen,consumir,consommer
consumer,потребитель,verbraucher,consumidor,consommateur
consumption,потребление,verbrauch,consumo,consommation
contact,контакт,kontakt,contacto,contact
contain,содержать,enthalten,contiene,contenir
container,контейнер,container,envase,récipient
contemporary,современный,zeitgenössisch,contemporáneo,contemporain
content,содержание,inhalt,contenido,contenu
contest,конкурс,wettbewerb,concurso,concours
context,контекст,kontext,contexto,le contexte
continue,продолжать,fortsetzen,continuar,continuer
continued,продолженный,fortgesetzt,continuado,a continué
contract,контракт,vertrag,contrato,contrat
contrast,отличие,kontrast,contraste,contraste
contribute,способствовать,beitragen,contribuir,contribuer
contribution,вклад,beitrag,contribución,contribution
control,контроль,steuern,controlar,contrôle
controversial,спорный,umstritten,polémico,controversé
controversy,спор,kontroverse,controversia,controverse
convention,обычай,konvention,convención,convention
conventional,обычный,konventionell,convencional,conventionnel
conversation,разговор,konversation,conversacion,conversation
convert,конвертировать,konvertieren,convertir,convertir
conviction,убеждение,überzeugung,convicción,conviction
convince,убеждать,überzeugen,convencer,convaincre
cook,готовить,koch,cocinar,cuisinier
cookie,печенье,plätzchen,galleta,biscuit
cooking,кухонный,kochen,cocina,cuisine
cool,прохладный,cool,guay,cool
cooperation,сотрудничество,zusammenarbeit,cooperación,la coopération
cop,полисмен,polizist,policía,flic
cope,справиться,bewältigen,capa pluvial,chape
copy,копия,kopieren,dupdo,copie
core,сердечник,ader,núcleo,coeur
corn,кукуруза,mais,maíz,blé
corner,угол,ecke,esquina,coin
corporate,корпоративный,corporate,corporativo,entreprise
corporation,корпорация,gesellschaft,corporación,société
correct,правильный,richtig,correcto,correct
correspondent,корреспондент,korrespondent,corresponsal,correspondant
cost,стоимость,kosten,costo,coût
cotton,хлопок,baumwolle,algodón,coton
couch,диван,couch,sofá,canapé
could,мочь,könnte,podría,pourrait
council,собор,rat,consejo,conseil
counselor,советник,berater,consejero,conseiller
count,рассчитывать,graf,contar,compter
counter,противостоять,zähler,mostrador,compteur
country,страна,land,país,pays
county,графство,county,condado,comté
couple,пара,paar,pareja,couple
courage,мужество,mut,valor,courage
course,курс,kurs,curso,cours
court,суд,gericht,corte,tribunal
cousin,кузен,cousin,prima,cousin
cover,крышка,abdeckung,cubrir,couverture
coverage,охват,abdeckung,cobertura,couverture
cow,корова,kuh,vaca,vache
crack,трещина,riss,grieta,fissure
craft,ремесло,kunst,arte,artisanat
crash,крах,absturz,choque,crash
crazy,сумасшедший,verrückt,loca,fou
cream,крем,sahne,crema,crème
create,создавать,erstellen,crear,créer
creation,создание,schaffung,creación,création
creative,творческий,kreativ,creativo,créatif
creature,создание,kreatur,criatura,créature
credit,аккредитив,kredit,crédito,crédit
crew,экипаж,crew,tripulación,équipage
crime,преступность,kriminalität,crimen,la criminalité
criminal,уголовный,kriminell,criminal,criminel
crisis,кризис,krise,crisis,crise
criteria,критерии,kriterien,criterios,critères
critic,критик,kritiker,crítico,critique
critical,критический,kritisch,crítico,critique
criticism,критика,kritik,crítica,critique
criticize,критиковать,kritisieren,criticar,critiquer
crop,урожай,ernte,cultivo,surgir
cross,крест,kreuz,cruzar,traverser
crowd,толпа,menge,multitud,foule
crucial,ключевой,entscheidend,crucial,crucial
cry,крик,schrei,llorar,cri
cultural,культурный,kulturelle,cultural,culturel
culture,культура,kultur,cultura,culture
cup,чашка,tasse,vaso,coupe
curious,любопытный,neugierig,curioso,curieuse
current,текущий,strom,corriente,actuel
currently,ныне,zur zeit,actualmente,actuellement
curriculum,учебный план,lehrplan,plan de estudios,curriculum
custom,обычай,brauch,personalizado,douane
customer,клиент,kunde,cliente,client
cut,вырезать,schneiden,cortar,couper
cycle,цикл,zyklus,ciclo,cycle
dad,папа,papa,papá,papa
daily,ежедневный,täglich,diariamente,du quotidien
damage,ущерб,beschädigung,dañar,dommage
dance,танец,tanzen,baile,danse
danger,опасность,achtung,peligro,danger
dangerous,опасный,gefährlich,peligroso,dangereux
dare,сметь,wagen,atrevimiento,oser
dark,темный,dunkel,oscuro,foncé
darkness,темнота,dunkelheit,oscuridad,obscurité
data,данные,daten,datos,les données
date,дата,datum,fecha,rendez-vous amoureux
daughter,дочь,tochter,hija,fille
day,день,tag,día,journée
dead,мертвый,tot,muerto,mort
deal,сделка,deal,acuerdo,traiter
dealer,дилер,händler,comerciante,marchand
dear,дорогой,sehr geehrter,querido,cher
death,смерть,tod,muerte,décès
debate,дебаты,debatte,debate,débat
debt,долг,schuld,deuda,dette
decade,десятилетие,dekade,década,décennie
decide,решать,entscheiden,decidir,décider
decision,решение,entscheidung,decisión,décision
deck,палуба,deck,cubierta,plate-forme
declare,заявлять,erklären,declarar,déclarer
decline,спад,ablehnen,disminución,déclin
